 Merge1=Z:\Users2012\Darja.0912\saxs-0\Processed\lyz_218.datMerge2=
 Z:\Users2012\Darja.0912\WAXS-0\Processed\lyz_218.dat
  0.871252E-01  0.400680E+01  0.103361E+02
  0.898592E-01  0.120310E+02  0.371297E+01
  0.925932E-01  0.133772E+02  0.294358E+01
  0.953273E-01  0.131494E+02  0.260049E+01
  0.980613E-01  0.114726E+02  0.229255E+01
  0.100795E+00  0.934876E+01  0.206555E+01
  0.103529E+00  0.100024E+02  0.186394E+01
  0.106263E+00  0.105816E+02  0.171514E+01
  0.108998E+00  0.103446E+02  0.153257E+01
  0.111732E+00  0.115822E+02  0.141686E+01
  0.114466E+00  0.119813E+02  0.132156E+01
  0.117200E+00  0.124923E+02  0.121817E+01
  0.119934E+00  0.125192E+02  0.112147E+01
  0.122668E+00  0.114040E+02  0.103217E+01
  0.125402E+00  0.110453E+02  0.967241E+00
  0.128136E+00  0.105393E+02  0.913830E+00
  0.130870E+00  0.110008E+02  0.848387E+00
  0.133604E+00  0.117420E+02  0.803949E+00
  0.136338E+00  0.119228E+02  0.747008E+00
  0.139072E+00  0.112700E+02  0.701023E+00
  0.141806E+00  0.108862E+02  0.656667E+00
  0.144540E+00  0.117486E+02  0.626158E+00
  0.147274E+00  0.112087E+02  0.599326E+00
  0.150008E+00  0.118606E+02  0.561239E+00
  0.152742E+00  0.117288E+02  0.535045E+00
  0.155476E+00  0.116419E+02  0.502095E+00
  0.158210E+00  0.116098E+02  0.482937E+00
  0.160944E+00  0.117090E+02  0.457248E+00
  0.163678E+00  0.113959E+02  0.438806E+00
  0.166412E+00  0.116099E+02  0.418117E+00
  0.169146E+00  0.114249E+02  0.398326E+00
  0.171881E+00  0.117616E+02  0.383756E+00
  0.174615E+00  0.115570E+02  0.365571E+00
  0.177349E+00  0.114486E+02  0.349733E+00
  0.180083E+00  0.115499E+02  0.333249E+00
  0.182817E+00  0.114741E+02  0.324415E+00
  0.185551E+00  0.115011E+02  0.313340E+00
  0.188285E+00  0.113973E+02  0.296838E+00
  0.191019E+00  0.114272E+02  0.285465E+00
  0.193753E+00  0.110584E+02  0.277389E+00
  0.196487E+00  0.114370E+02  0.268780E+00
  0.199221E+00  0.114983E+02  0.261617E+00
  0.201955E+00  0.115135E+02  0.246917E+00
  0.204689E+00  0.113438E+02  0.242114E+00
  0.207423E+00  0.110911E+02  0.235044E+00
  0.210157E+00  0.113399E+02  0.231653E+00
  0.212891E+00  0.113615E+02  0.224875E+00
  0.215625E+00  0.112575E+02  0.217586E+00
